#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
IPR001064	Beta/gamma crystallin	7	8	1.08	0.76	0.0034	10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618	Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3
IPR011024	Gamma-crystallin-like	7	8	1.08	0.76	0.0034	10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618	Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3
