#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0002088	Lens development in camera-type eye	9	11	1.05	0.84	0.0011	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
GO:0007601	Visual perception	9	12	1.01	0.81	0.0011	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000030412,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618	Cryaa,Crygb,Ppt1,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3
GO:0150063	Visual system development	10	19	0.86	0.7	0.0011	10090.ENSMUSP00000019192,10090.ENSMUSP00000024988,10090.ENSMUSP00000027090,10090.ENSMUSP00000031286,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618,10090.ENSMUSP00000149803	Cryaa,C3,Crygb,Crybb1,Cryba1,Crybb2,Cryba4,Crygc,Crybb3,Cryab
GO:0007600	Sensory perception	10	34	0.61	0.37	0.0325	10090.ENSMUSP00000019192,10090.ENSMUSP00000027090,10090.ENSMUSP00000030412,10090.ENSMUSP00000031286,10090.ENSMUSP00000063025,10090.ENSMUSP00000077693,10090.ENSMUSP00000107955,10090.ENSMUSP00000108004,10090.ENSMUSP00000109698,10090.ENSMUSP00000112618	Cryaa,Crygb,Ppt1,Crybb1,Serpinb6d,Cryba1,Crybb2,Cryba4,Crygc,Crybb3
